"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.466580250E0,-3.852701746E-3,-6.756064249E-4,2.778663067E-3,4.797991582E-3
2.476497250E0,-1.641606912E-3,-2.442160621E-5,2.627576003E-3,3.098326213E-3
2.486413250E0,1.900929958E-3,3.436272964E-4,6.509779487E-4,2.038476567E-3
2.496330250E0,1.118219458E-3,-1.307129744E-3,1.586606959E-3,2.340154816E-3
2.506247250E0,-6.304122508E-4,4.042175133E-4,-5.231492687E-4,9.135078332E-4
2.516164250E0,-1.434898935E-3,1.329491148E-3,-4.998915829E-4,2.019003036E-3
2.526081250E0,6.863093004E-4,-9.216788458E-4,1.331297914E-3,1.758654737E-3
2.535998250E0,-3.361422569E-5,2.783797914E-3,1.780879684E-4,2.789691034E-3
2.545914250E0,-3.191046417E-4,-1.363276504E-3,-1.106620883E-3,1.784645729E-3
2.555831250E0,1.517212018E-3,-1.228054753E-3,1.871072687E-3,2.703879395E-3
2.565748250E0,-1.427445561E-3,-1.347364392E-3,1.049487386E-3,2.225851614E-3
2.575665250E0,8.868104778E-4,-1.481343992E-3,-4.741715966E-4,1.790433341E-3
2.585582250E0,3.227535635E-4,1.490743831E-3,8.187931962E-4,1.731158378E-3
2.595498250E0,5.980730057E-4,4.039080814E-3,-6.748419255E-4,4.138511419E-3
2.605415250E0,1.020716503E-3,-1.359678921E-3,-3.012831090E-3,3.459442170E-3
2.615332250E0,-2.234538086E-3,1.305832062E-3,9.595537558E-4,2.760271951E-3
2.625249250E0,-3.695264459E-4,-6.417375989E-4,-2.182100434E-5,7.408462029E-4
2.635166250E0,-1.153795049E-3,3.396807238E-3,-9.311761241E-4,3.706296184E-3
2.645083250E0,2.426559106E-3,-1.703146379E-3,-6.201189244E-4,3.028769414E-3
2.654999250E0,-2.376725897E-4,7.226611488E-4,-1.695962390E-3,1.858767286E-3
2.664916250E0,2.278480679E-4,1.455829479E-3,-2.330061048E-3,2.756907453E-3
2.674833250E0,2.505483571E-3,2.963729203E-4,2.647445071E-4,2.536803991E-3
2.684750250E0,5.962634459E-4,-1.122220419E-5,1.626418671E-3,1.732308785E-3
2.694667250E0,-1.892630942E-3,1.351755578E-3,1.688998425E-3,2.874371359E-3
2.704584250E0,5.550808273E-4,-6.400225684E-4,1.443454996E-3,1.673710231E-3
2.714500250E0,-1.796781085E-3,-2.347221598E-3,1.244741841E-3,3.207374900E-3
2.724417250E0,1.135359053E-3,9.795993101E-4,2.255499130E-4,1.516419385E-3
2.734334250E0,2.109252848E-3,1.022007782E-4,-1.194264973E-3,2.426038211E-3
2.744251250E0,-1.381887123E-4,9.205902461E-4,-6.405938184E-4,1.130019009E-3
2.754168250E0,-1.464337111E-4,-1.650430611E-3,2.771367785E-3,3.228907467E-3
2.764085250E0,-1.088393852E-3,5.112572107E-4,-2.025518101E-3,2.355569716E-3
2.774001250E0,-9.072544053E-4,5.023123696E-3,1.627528341E-3,5.357586278E-3
2.783918250E0,-1.971187070E-3,-7.495441241E-4,-5.237732548E-4,2.172954965E-3
2.793835250E0,-2.764789388E-3,-1.063074218E-3,7.037059404E-4,3.044567162E-3
2.803752250E0,6.560408510E-4,1.577449962E-3,-1.846270752E-3,2.515443037E-3
2.813669250E0,1.824918203E-3,-5.137075204E-4,-1.489140559E-3,2.410759521E-3
2.823585250E0,-7.471628487E-4,5.582147278E-4,2.113849856E-3,2.310458227E-3
2.833502250E0,-9.346622974E-4,2.285036724E-3,-1.955830958E-3,3.149644611E-3
2.843419250E0,6.778817624E-4,-1.420485671E-3,7.672511274E-4,1.750993294E-3
2.853336250E0,-1.197308302E-4,7.912844885E-4,1.602036878E-3,1.790806738E-3
2.863253250E0,2.264064271E-3,-6.026140181E-4,-1.311195083E-3,2.684839515E-3
2.873170250E0,2.894038334E-4,2.227686578E-3,9.089822415E-4,2.423342895E-3
2.883086250E0,4.976633936E-4,-1.244543004E-3,8.072494529E-4,1.564674989E-3
2.893003250E0,5.197152495E-4,5.744008813E-4,-7.228064351E-4,1.059476029E-3
2.902920250E0,-9.641982615E-4,5.658788141E-4,9.501914028E-4,1.467228960E-3
2.912837250E0,-2.195509151E-4,-1.412780257E-3,-3.103552153E-4,1.463034866E-3
2.922754250E0,1.969567034E-3,1.541997073E-3,1.497664838E-3,2.915467243E-3
2.932671250E0,2.069352195E-4,2.545999363E-3,5.645697238E-4,2.616041650E-3
2.942587250E0,1.009413972E-4,4.016223829E-4,1.310254796E-3,1.374138761E-3
2.952504250E0,-1.393459737E-3,-3.177038860E-3,1.115433406E-4,3.470986585E-3
2.962421250E0,-5.815085024E-5,-3.251607297E-3,7.142168470E-4,3.329630196E-3
2.972338250E0,7.137791254E-4,-2.988083521E-3,-1.591607346E-3,3.459962097E-3
2.982255250E0,1.630373299E-4,-7.778103463E-5,4.737128504E-3,4.740571434E-3
