Accelerometer Z,Smoothed Acc Z,Intensity,
9.676575,9.812607,,
10.04148,9.816585,,
9.620942,9.817392,,
9.958928,9.807103,,
9.84168,9.816914,,
9.662218,9.809048,,
10.07498,9.81162,,
9.640084,9.817662,,
9.915258,9.808569,,
9.875179,9.819785,,
9.619147,9.816465,,
10.060024,9.816645,,
9.611969,9.823614,,
9.834501,9.813295,,
9.908679,9.822119,,
9.562318,9.820503,,
10.050453,9.817332,,
9.688539,9.823374,,
9.781859,9.811201,,
9.970892,9.818319,,
9.610174,9.816256,,
10.04507,9.810962,,
9.760324,9.820533,,
9.752547,9.810244,,
10.01815,9.817842,,
9.629914,9.82149,,
10.01157,9.814281,,
9.7609215,9.824092,,
9.671789,9.815957,,
10.017552,9.820892,,
9.57787,9.82502,,
9.954143,9.816376,,
9.803394,9.824989,,
9.628718,9.81835,,
10.060623,9.820683,,
9.635299,9.824331,,
9.906285,9.814013,,
9.88475,9.824033,,
9.619147,9.818798,,
10.069596,9.819695,,
9.692726,9.826186,,
9.872188,9.814222,,
9.932607,9.823763,,
9.619745,9.82143,,
10.06481,9.818499,,
9.702896,9.825707,,
9.805189,9.8147,,
9.961321,9.822776,,
9.567103,9.824033,,
10.035499,9.819905,,
9.707682,9.827353,,
9.71486,9.817811,,
9.994222,9.824212,,
9.582058,9.824751,,
10.001999,9.817512,,
9.779466,9.825438,,
9.686146,9.815209,,
10.046266,9.819666,,
9.644272,9.822626,,
9.987043,9.812816,,
9.84168,9.822626,,
9.68136,9.816675,,
10.060623,9.819487,,
9.630513,9.825289,,
9.920045,9.815209,,
9.861421,9.824751,,
9.600603,9.82143,,
10.050453,9.8216095,,
9.626326,9.82789,,
9.839287,9.817362,,
9.9038925,9.826186,,
9.595817,9.822178,,
10.050453,9.819246,,
9.698111,9.82502,,
9.800404,9.813086,,
9.970294,9.8216095,,
9.619745,9.82143,,
10.049855,9.816614,,
9.769895,9.825737,,
9.776475,9.815687,,
10.01815,9.823285,,
9.601201,9.825258,,
10.001999,9.818499,,
9.745967,9.827353,,
9.68136,9.819964,,
10.031909,9.825888,,
9.597013,9.828579,,
9.954143,9.819935,,
9.808778,9.827592,,
9.638289,9.819756,,
10.055838,9.821371,,
9.635299,9.82502,,
9.915258,9.814252,,
9.875179,9.824751,,
9.652647,9.819516,,
10.088738,9.819695,,
9.673584,9.824511,,
9.876974,9.812068,,
9.923036,9.821341,,
9.619745,9.818529,,
10.050453,9.816316,,
9.674182,9.8235235,,
9.786645,9.813713,,
9.955936,9.822746,,
9.576674,9.8216095,,
10.035499,9.816764,,
9.693324,9.82517,,
9.705289,9.815149,,
9.994222,9.82179,,
9.582058,9.821849,,
10.01157,9.815359,,
9.779466,9.8235235,,
9.719048,9.813982,,
10.055838,9.818021,,
9.629914,9.820742,,
9.991829,9.812338,,
9.84168,9.822866,,
9.676575,9.817871,,
10.055838,9.820922,,
9.620942,9.826246,,
9.920643,9.8161955,,
9.837492,9.8266945,,
9.595817,9.821251,,
10.036695,9.821191,,
9.631111,9.826515,,
9.867402,9.81455,,
9.9038925,9.822178,,
9.605389,9.817452,,
10.055239,9.814281,,
9.688539,9.820533,,
9.810573,9.808808,,
9.989436,9.818319,,
9.610174,9.81814,,
10.054641,9.814013,,
9.736395,9.824062,,
9.752547,9.813325,,
9.994222,9.82164,,
9.582058,9.822896,,
