"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.847602292E0,-1.053808594E-1,8.771759033E-2,9.965227203E0,9.966170414E0
1.857519292E0,-1.118174744E-1,8.921447754E-2,9.966424713E0,9.967451226E0
1.867436292E0,-1.158590698E-1,9.116043091E-2,9.970017242E0,9.971107128E0
1.877353292E0,-1.136137390E-1,8.547225952E-2,9.964778137E0,9.965792337E0
1.887270292E0,-1.181044006E-1,8.711883545E-2,9.954299927E0,9.955381729E0
1.897187292E0,-1.113684082E-1,8.547225952E-2,9.966424713E0,9.967413405E0
1.907104292E0,-1.112187195E-1,8.337661743E-2,9.973011017E0,9.973979647E0
1.917021292E0,-1.124162292E-1,7.843688965E-2,9.966724091E0,9.967666670E0
1.926938292E0,-1.103205872E-1,8.502319336E-2,9.963281250E0,9.964254756E0
1.936855292E0,-1.083746338E-1,8.472381592E-2,9.964927826E0,9.965877270E0
1.946772292E0,-1.173559570E-1,8.217910767E-2,9.957443390E0,9.958474014E0
1.956689292E0,-1.104702759E-1,8.457412720E-2,9.961035919E0,9.962007481E0
1.966606292E0,-1.107696533E-1,8.457412720E-2,9.965376892E0,9.966351353E0
1.976523292E0,-1.097218323E-1,7.828720093E-2,9.973160706E0,9.974071497E0
1.986440292E0,-1.095721436E-1,8.487350464E-2,9.961634674E0,9.962598805E0
1.996357292E0,-1.228944397E-1,8.277786255E-2,9.955198059E0,9.956300699E0
2.006274292E0,-1.225950623E-1,8.711883545E-2,9.962682495E0,9.963817629E0
2.016191292E0,-1.203497314E-1,8.861572266E-2,9.960437164E0,9.961558377E0
2.026108292E0,-1.059796143E-1,8.711883545E-2,9.963281250E0,9.964225742E0
2.036025292E0,-1.076261902E-1,7.948471069E-2,9.972412262E0,9.973309758E0
2.045942292E0,-1.070274353E-1,8.322692871E-2,9.972112885E0,9.973034492E0
2.055859292E0,-1.182540894E-1,8.711883545E-2,9.959239655E0,9.960322696E0
