"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.369443042E0,-2.523751831E-1,7.487429810E-1,9.770931244E0,9.802826463E0
1.379361042E0,-5.125341797E-1,7.692503357E-1,1.001088226E1,1.005346712E1
1.389278042E0,-5.575904846E-1,8.312214661E-1,9.839338989E0,9.890117695E0
1.399195500E0,-2.800675964E-1,8.604107666E-1,9.429790649E0,9.473103833E0
1.409113500E0,2.453398132E-1,9.113049316E-1,8.368497620E0,8.421545031E0
1.419030500E0,-4.034111023E-1,9.491761780E-1,8.559949493E0,8.621856602E0
1.428947500E0,-1.765728149E0,1.064735870E0,1.039228912E1,1.059486345E1
1.438865500E0,-1.338516541E0,9.833052063E-1,1.102427490E1,1.114868390E1
1.448782500E0,-1.703457642E-1,6.297404480E-1,1.044961990E1,1.046996403E1
1.458700500E0,2.662962341E-1,5.653742981E-1,9.972412262E0,9.991975185E0
1.468617500E0,-1.484912109E-1,6.941065979E-1,9.995314636E0,1.002048643E1
1.478534500E0,-5.510041809E-1,8.419990540E-1,9.936486969E0,9.987309012E0
1.488452500E0,-5.023553467E-1,8.657995605E-1,9.698332214E0,9.749852179E0
1.498369500E0,-3.252735901E-1,7.812254333E-1,9.591903534E0,9.629160373E0
1.508286500E0,-1.995350647E-1,6.527925110E-1,9.738448792E0,9.762342811E0
1.518204500E0,-1.661544800E-1,7.026388550E-1,9.960137787E0,9.986273249E0
1.528121500E0,-9.056167603E-2,7.688012695E-1,9.882299652E0,9.912572987E0
1.538039500E0,-1.803749084E-1,8.509803772E-1,9.748627625E0,9.787361405E0
1.547956500E0,-5.239105225E-3,8.358618164E-1,1.010324020E1,1.013775888E1
1.557873500E0,-4.011657715E-1,7.418572998E-1,9.941726074E0,9.977434719E0
1.567791500E0,-4.263134766E-1,8.125103760E-1,9.819131012E0,9.861909051E0
1.577708500E0,-3.079096985E-1,7.776329041E-1,9.858050079E0,9.893466161E0
1.587625500E0,-2.963836670E-1,7.723937988E-1,9.760153656E0,9.795153641E0
1.597543500E0,-2.532733154E-1,7.210505676E-1,9.840835876E0,9.870466658E0
1.607460500E0,-2.451901245E-1,6.831793213E-1,1.004396347E1,1.007015662E1
1.617378500E0,-3.629951477E-1,7.017407227E-1,1.006252487E1,1.009349356E1
1.627295500E0,-3.667373657E-1,7.017407227E-1,1.000609222E1,1.003737107E1
1.637212500E0,-3.507206726E-1,6.831793213E-1,9.990225220E0,1.001969755E1
1.647130500E0,-3.662882996E-1,7.174580383E-1,1.002076172E1,1.005308801E1
1.657047500E0,-4.466711426E-1,7.622149658E-1,9.905651093E0,9.944969097E0
1.666964500E0,-4.090992737E-1,8.515791321E-1,9.872420197E0,9.917521352E0
1.676882500E0,-2.320175171E-1,8.482859802E-1,1.002270767E1,1.006121714E1
1.686799500E0,-3.115022278E-1,9.379495239E-1,1.001387604E1,1.006252932E1
1.696717500E0,-3.995191956E-1,9.357041931E-1,9.766141205E0,9.818995466E0
1.706634500E0,-2.330653381E-1,7.665559387E-1,9.851912842E0,9.884437976E0
1.716551500E0,-1.941462708E-1,6.902146912E-1,9.973759460E0,9.999498331E0
1.726469500E0,-2.966830444E-1,7.060816956E-1,9.865983582E0,9.895665931E0
1.736386500E0,-2.784210205E-1,6.604266357E-1,9.811646576E0,9.837788885E0
1.746303500E0,-2.281256104E-1,6.388714600E-1,9.864486694E0,9.887785181E0
1.756221500E0,-2.237846375E-1,5.881269836E-1,9.933343506E0,9.953255051E0
1.766138500E0,-2.100132751E-1,5.289999390E-1,9.978998566E0,9.995216800E0
1.776056500E0,-1.859133911E-1,4.331991577E-1,1.004620880E1,1.005726288E1
1.785973500E0,-1.999841309E-1,4.134402466E-1,1.012584320E1,1.013625311E1
1.795890500E0,-2.881507874E-1,3.281176758E-1,1.013018417E1,1.013959188E1
1.805808500E0,-3.924838257E-1,3.050656128E-1,1.010638367E1,1.011860165E1
1.815725500E0,-5.183720398E-1,4.053570557E-1,1.005489075E1,1.007640074E1
1.825643500E0,-4.381388855E-1,3.995191956E-1,9.897567902E0,9.915312987E0
